Barcode	Name	Quantity	Price	PriceBuy
8004800008152	B?nh Sampa Balocco Savoiardi 200g	20	59000	1180000
8935049501626	sprite 320ml	50	6875	343750
8936036025170	chocopie dark 360g	15	43000	645000
8936036027174	chocopie yogurt 360g	15	43000	645000
